"STATION","NAME","DATE","PRCP","TAVG"
"IN022023000","NEW DELHI PALAM, IN","2022-03-22",,"28.1"
"IN022023000","NEW DELHI PALAM, IN","2022-03-23",,"27.8"
"IN022023000","NEW DELHI PALAM, IN","2022-03-24",,"28.5"
"IN022023000","NEW DELHI PALAM, IN","2022-03-25",,"27.3"
"IN022023000","NEW DELHI PALAM, IN","2022-03-26",,"27.8"
"IN022023000","NEW DELHI PALAM, IN","2022-03-27",,"28.3"
"IN022023000","NEW DELHI PALAM, IN","2022-03-28",,"30.0"
"IN022023000","NEW DELHI PALAM, IN","2022-03-29",,"30.8"
"IN022023000","NEW DELHI PALAM, IN","2022-03-30",,"31.0"
"IN022023000","NEW DELHI PALAM, IN","2022-03-31",,"31.3"
"IN022023000","NEW DELHI PALAM, IN","2022-04-01",,"29.4"
"IN022023000","NEW DELHI PALAM, IN","2022-04-02",,"30.8"
"IN022023000","NEW DELHI PALAM, IN","2022-04-03",,"30.9"
"IN022023000","NEW DELHI PALAM, IN","2022-04-04",,"30.7"
"IN022023000","NEW DELHI PALAM, IN","2022-04-05",,"30.9"
"IN022023000","NEW DELHI PALAM, IN","2022-04-06",,"31.0"
"IN022023000","NEW DELHI PALAM, IN","2022-04-07",,"31.7"
"IN022023000","NEW DELHI PALAM, IN","2022-04-08",,"32.8"
"IN022023000","NEW DELHI PALAM, IN","2022-04-09",,"34.2"
"IN022023000","NEW DELHI PALAM, IN","2022-04-10",,"33.8"
"IN022023000","NEW DELHI PALAM, IN","2022-04-11",,"34.3"
"IN022023000","NEW DELHI PALAM, IN","2022-04-12",,"33.2"
"IN022023000","NEW DELHI PALAM, IN","2022-04-13",,"33.3"
"IN022023000","NEW DELHI PALAM, IN","2022-04-14",,"32.4"
"IN022023000","NEW DELHI PALAM, IN","2022-04-15",,"32.4"
"IN022023000","NEW DELHI PALAM, IN","2022-04-16",,"32.6"
"IN022023000","NEW DELHI PALAM, IN","2022-04-17",,"33.2"
"IN022023000","NEW DELHI PALAM, IN","2022-04-18",,"34.0"
"IN022023000","NEW DELHI PALAM, IN","2022-04-19",,"34.8"
"IN022023000","NEW DELHI PALAM, IN","2022-04-20",,"34.3"
"IN022023000","NEW DELHI PALAM, IN","2022-04-21",,"31.2"
"IN022023000","NEW DELHI PALAM, IN","2022-04-22","0.3","32.0"
"IN022023000","NEW DELHI PALAM, IN","2022-04-23","0.0","32.5"
"IN022023000","NEW DELHI PALAM, IN","2022-04-24",,"33.4"
"IN022023000","NEW DELHI PALAM, IN","2022-04-25",,"33.7"
"IN022023000","NEW DELHI PALAM, IN","2022-04-26",,"33.8"
"IN022023000","NEW DELHI PALAM, IN","2022-04-27",,"34.7"
"IN022023000","NEW DELHI PALAM, IN","2022-05-01",,"33.8"
"IN022023000","NEW DELHI PALAM, IN","2022-05-02",,"34.4"
"IN022023000","NEW DELHI PALAM, IN","2022-05-03",,"33.1"
